chi'_s= 12  L(cubic 4v #0)  (n=6, m=12)
chi'_s=  9  L(cubic 6v #0)  (n=9, m=18)
chi'_s=  9  L(cubic 6v #1)  (n=9, m=18)
chi'_s= 12  L(cubic 8v #0)  (n=12, m=24)
chi'_s= 12  L(cubic 8v #1)  (n=12, m=24)
chi'_s= 12  L(cubic 8v #2)  (n=12, m=24)
chi'_s= 12  L(cubic 8v #3)  (n=12, m=24)
chi'_s= 12  L(cubic 8v #4)  (n=12, m=24)
chi'_s= 10  L(cubic 10v #0)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #1)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #2)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #3)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #4)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #5)  (n=15, m=30)
chi'_s= 13  L(cubic 10v #6)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #7)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #8)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #9)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #10)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #11)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #12)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #13)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #14)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #15)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #16)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #17)  (n=15, m=30)
chi'_s= 10  L(cubic 10v #18)  (n=15, m=30)
chi'_s=  9  L(cubic 12v #0)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #1)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #2)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #3)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #4)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #5)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #6)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #7)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #8)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #9)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #10)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #11)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #12)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #13)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #14)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #15)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #16)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #17)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #18)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #19)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #20)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #21)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #22)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #23)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #24)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #25)  (n=18, m=36)
chi'_s= 13  L(cubic 12v #26)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #27)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #28)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #29)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #30)  (n=18, m=36)
chi'_s= 13  L(cubic 12v #31)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #32)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #33)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #34)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #35)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #36)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #37)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #38)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #39)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #40)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #41)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #42)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #43)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #44)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #45)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #46)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #47)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #48)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #49)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #50)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #51)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #52)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #53)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #54)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #55)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #56)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #57)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #58)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #59)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #60)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #61)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #62)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #63)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #64)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #65)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #66)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #67)  (n=18, m=36)
chi'_s= 11  L(cubic 12v #68)  (n=18, m=36)
chi'_s= 13  L(cubic 12v #69)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #70)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #71)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #72)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #73)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #74)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #75)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #76)  (n=18, m=36)
chi'_s=  9  L(cubic 12v #77)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #78)  (n=18, m=36)
chi'_s= 13  L(cubic 12v #79)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #80)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #81)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #82)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #83)  (n=18, m=36)
chi'_s= 10  L(cubic 12v #84)  (n=18, m=36)
